name,prefecture,area,type,avg_temp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,website,map
塚浜小屋取集会所,宮城県,,,11.7,0.9,1.2,4.9,9.4,14.8,18.0,21.8,23.5,20.3,14.5,8.7,3.1,,"https://www.google.com/maps?q=38.4074057,141.4924397"
雷神自治会館,岩手県,,,11.6,0.4,0.8,4.7,9.3,14.8,18.0,21.9,23.7,20.3,14.2,8.1,2.6,,"https://www.google.com/maps?q=39.0177912,141.6625091"
和方会館,岩手県,,,11.6,0.4,0.8,4.7,9.3,14.8,18.0,21.9,23.7,20.3,14.2,8.1,2.6,,"https://www.google.com/maps?q=39.008442,141.6760894"
旧自然休暇村,岩手県,,,11.6,0.4,0.8,4.7,9.3,14.8,18.0,21.9,23.7,20.3,14.2,8.1,2.6,,"https://www.google.com/maps?q=39.0111402,141.67878"
松峰公民館,岩手県,,,11.6,0.4,0.8,4.7,9.3,14.8,18.0,21.9,23.7,20.3,14.2,8.1,2.6,,"https://www.google.com/maps?q=39.0093798,141.6539439"
スノーピーク陸前高田キャンプフィールド,岩手県,,,11.6,0.4,0.8,4.7,9.3,14.8,18.0,21.9,23.7,20.3,14.2,8.1,2.6,,"https://www.google.com/maps?q=38.9882833,141.679631"
上之坊公民館,岩手県,,,11.6,0.4,0.8,4.7,9.3,14.8,18.0,21.9,23.7,20.3,14.2,8.1,2.6,,"https://www.google.com/maps?q=38.9993909,141.6976046"
徳沢キャンプ場,長野県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=36.2652752,137.6900212"
横尾キャンプ場,長野県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=36.2930213,137.6984426"
涸沢野営場,富山県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=36.2944025,137.6626455"
矢作公民館多目的研修センター,岩手県,,,11.6,0.4,0.8,4.7,9.3,14.8,18.0,21.9,23.7,20.3,14.2,8.1,2.6,,"https://www.google.com/maps?q=39.0306766,141.5321175"
Bokketsuru Camping Ground,大分県,,,13.2,1.8,3.2,6.8,12.0,16.9,20.5,24.2,24.5,20.9,14.8,9.0,3.6,,"https://www.google.com/maps?q=33.099444,131.261263"
名栗げんきプラザ,埼玉県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.naguri-genki.com/,"https://www.google.com/maps?q=35.9357634,139.1535504"
campeggio,大阪府,,,13.8,2.4,3.1,6.5,12.0,17.1,21.0,24.8,25.9,22.0,16.0,9.9,4.6,,"https://www.google.com/maps?q=34.935566,135.4098114"
兜山キャンプ場,佐賀県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"https://www.google.com/maps?q=33.2963982,130.5923557"
甫喜ヶ峰森林公園キャンプ場,高知県,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.kochi-sanrin.jp/hoki/,"https://www.google.com/maps?q=33.6692473,133.6796945"
月見山こどもの森キャンプ場,高知県,,,17.0,6.4,7.9,10.8,15.4,19.5,22.6,26.1,27.3,24.7,19.8,14.3,8.5,http://www13.ocn.ne.jp/~tukimi-y/field/field.htm,"https://www.google.com/maps?q=33.5419872,133.7467654"
